Flow_Rate_m3hr,Head_m,Flow_Rate_gpm,Head_ft,Cluster_Label,Cluster_Color,Cluster_Shape
8.915374080000506,14.544943055691977,39.25333333333556,47.71962944780832,9,#f8971f,*
8.597400479999875,14.716855055389889,37.853333333332785,48.28364519484872,10,#9cadb7,*
8.243087040000255,14.832101524493517,36.29333333333445,48.6617504084433,10,#9cadb7,*
7.973566560000379,14.807383424654871,35.10666666666834,48.580654280363746,10,#9cadb7,*
7.916028479999875,14.982465947918032,34.853333333332785,49.155072007605085,10,#9cadb7,*
7.755527520000127,14.888835560582928,34.14666666666723,48.84788569745055,10,#9cadb7,*
7.495092000000001,14.925507098384582,33.00000000000001,48.968199141681694,10,#9cadb7,*
7.679819520000127,15.011803495774824,33.813333333333894,49.25132380503551,10,#9cadb7,*
7.499010531485809,14.965907848220459,33.01725282878872,49.10074753353169,10,#9cadb7,*
7.504429319999747,14.926205192917147,33.04111111111,48.970489478074626,10,#9cadb7,*
7.925491979999621,14.87867773855246,34.89499999999833,48.814559509686546,10,#9cadb7,*
8.630711999999999,14.846907683581723,38.0,48.71032704587179,10,#9cadb7,*
8.04889602000038,14.873414033202629,35.438333333335,48.797290135179225,10,#9cadb7,*
8.412925319999747,14.935346391188302,37.04111111111,49.00048028605086,10,#9cadb7,*
8.658723959999243,14.847083005408335,38.12333333333,48.71090224871501,10,#9cadb7,*
9.496685340000125,14.419613453947935,41.81277777777833,47.308443090380365,9,#f8971f,*
9.742483979999621,14.393361879749335,42.89499999999833,47.2223158784427,10,#9cadb7,*
10.149928257996661,14.189368499223605,44.68892877017251,46.553046257295286,9,#f8971f,*
10.750535999999999,14.290626886812278,47.33333333333333,46.88525881500091,10,#9cadb7,*
10.444581622362739,14.25009476342689,45.986252542059574,46.75227940756854,10,#9cadb7,*
10.352046576041547,14.501127368242905,45.57883172206172,47.57587719239798,10,#9cadb7,*
10.707887160000123,13.76611633664219,47.1455555555561,45.1644236766476,9,#f8971f,*
10.599119999999997,14.00540284353409,46.66666666666666,45.94948439479688,9,#f8971f,*
11.10560651999962,13.756492187865902,48.896666666665,45.132848385386815,9,#f8971f,*
11.531085480000378,14.04524814649855,50.770000000001666,46.08021045439156,10,#9cadb7,*
10.509532199999368,14.469272328669717,46.27222222221944,47.47136590770904,10,#9cadb7,*
11.806042021903425,13.90638281191273,51.980601001670564,45.624615524648064,10,#9cadb7,*
11.527300079999497,13.753097638827967,50.75333333333112,45.12171141347758,10,#9cadb7,*
10.915200900000631,13.922261904317915,48.058333333336115,45.676712284507595,9,#f8971f,*
11.300176079999495,14.130932961709444,49.75333333333111,46.3613286145323,10,#9cadb7,*
10.247077800001263,14.201828858208547,45.11666666667223,46.59392670015927,10,#9cadb7,*
10.714196159998991,14.1476510663708,47.17333333332889,46.41617803927428,10,#9cadb7,*
11.194941960000254,13.821198817751686,49.290000000001115,45.34514047818794,9,#f8971f,*
10.276603920000506,14.388433227620558,45.246666666668894,47.206145759909965,10,#9cadb7,*
9.164074860000884,14.57521495238212,40.34833333333723,47.81894669416706,10,#9cadb7,*
9.768486328646864,14.3668770022371,43.00948525319589,47.13542323568602,10,#9cadb7,*
10.089352799999496,14.451867600496916,44.42222222222,47.41426378115786,10,#9cadb7,*
10.785866400001009,14.323137125646479,47.48888888889333,46.99191970356456,10,#9cadb7,*
9.95812559999899,14.435517789712998,43.84444444444,47.360622669662064,10,#9cadb7,*
9.995979600000883,14.439369524888232,44.011111111115,47.373259596089994,10,#9cadb7,*
9.582109199999874,14.57469527507684,42.188888888888336,47.81724171613136,10,#9cadb7,*
9.463500000000002,14.600747777001855,41.66666666666667,47.90271580381186,10,#9cadb7,*
9.604821600000252,14.26456607898634,42.28888888889,46.7997574769893,9,#f8971f,*
8.999157600000252,14.611297809235205,39.622222222223336,47.93732877045671,10,#9cadb7,*
8.591982323439193,14.726551126546148,37.829477833426644,48.315456451923055,10,#9cadb7,*
8.403588000000001,14.833772782174842,37.00000000000001,48.667233537319035,10,#9cadb7,*
8.64105875999975,14.811155648495781,38.04555555555445,48.59303034283393,10,#9cadb7,*
8.653045860000379,14.72546341022612,38.098333333335006,48.311887828825846,10,#9cadb7,*
