Timestamp,"Master Meter Flow Rate, GPM",Is_Over_Zero,Is_Event
5/3/2024 4:00,42.73615099,FALSE,FALSE
5/3/2024 4:30,43.95444444,FALSE,FALSE
5/3/2024 5:00,42.40166667,FALSE,FALSE
5/3/2024 5:30,42.97722222,FALSE,FALSE
5/3/2024 6:00,45.90888889,FALSE,FALSE
5/3/2024 6:30,51.795,FALSE,FALSE
5/3/2024 7:00,55.62111111,FALSE,FALSE
5/3/2024 7:30,59.59833333,FALSE,FALSE
5/3/2024 8:00,57.42444444,FALSE,FALSE
5/3/2024 8:30,57.02277778,FALSE,FALSE
5/3/2024 9:00,55.7211649,FALSE,FALSE
5/3/2024 9:30,56.95555556,FALSE,FALSE
5/3/2024 10:00,55.66666667,FALSE,FALSE
5/3/2024 10:30,56.08888889,FALSE,FALSE
5/3/2024 11:00,59.84444444,FALSE,FALSE
5/3/2024 11:30,63.31111111,FALSE,FALSE
5/3/2024 12:00,58.11111111,FALSE,FALSE
5/3/2024 12:30,57.95555556,FALSE,FALSE
5/3/2024 13:00,58.31111111,FALSE,FALSE
5/3/2024 13:30,54.15555556,FALSE,FALSE
5/3/2024 14:00,54.63282972,FALSE,FALSE
5/3/2024 14:30,56.97833333,FALSE,FALSE
5/3/2024 15:00,53.13,FALSE,FALSE
5/3/2024 15:30,51.58,FALSE,FALSE
5/3/2024 16:00,50.10833333,FALSE,FALSE
5/3/2024 16:30,51.91333333,FALSE,FALSE
5/3/2024 17:00,54.29,FALSE,FALSE
5/3/2024 17:30,57.26833333,FALSE,FALSE
5/3/2024 18:00,60.805,FALSE,FALSE
5/3/2024 18:30,55.88333333,FALSE,FALSE
5/3/2024 19:00,57.59227416,FALSE,FALSE
5/3/2024 19:30,58.77222222,FALSE,FALSE
5/3/2024 20:00,54.06333333,FALSE,FALSE
5/3/2024 20:30,54.66666667,FALSE,FALSE
5/3/2024 21:00,53.35444444,FALSE,FALSE
5/3/2024 21:30,50.12666667,FALSE,FALSE
5/3/2024 22:00,49.89444444,FALSE,FALSE
5/3/2024 22:30,52.70888889,FALSE,FALSE
5/3/2024 23:00,51.97888889,TRUE,FALSE
5/3/2024 23:30,50,FALSE,FALSE
5/4/2024 0:00,51.06949267,FALSE,FALSE
5/4/2024 0:30,48.37444444,FALSE,FALSE
5/4/2024 1:00,45.41555556,FALSE,FALSE
5/4/2024 1:30,42.97944444,FALSE,FALSE
5/4/2024 2:00,42.04111111,FALSE,FALSE
5/4/2024 2:30,42.33333333,FALSE,FALSE
5/4/2024 3:00,41.68722222,FALSE,FALSE
5/4/2024 3:30,41.66666667,FALSE,FALSE
5/4/2024 4:00,41,FALSE,FALSE
5/4/2024 4:30,42.00085884,FALSE,FALSE
5/4/2024 5:00,41.668069,FALSE,FALSE
5/4/2024 5:30,41.31143649,FALSE,FALSE
5/4/2024 6:00,42.66674444,FALSE,FALSE
5/4/2024 6:30,43.9825311,TRUE,FALSE
5/4/2024 7:00,44.64666667,TRUE,FALSE
5/4/2024 7:30,45.64666667,TRUE,FALSE
5/4/2024 8:00,48.27333333,TRUE,FALSE
5/4/2024 8:30,52.52666667,TRUE,FALSE
5/4/2024 9:00,54.72666667,TRUE,FALSE
5/4/2024 9:30,58.56666667,TRUE,FALSE
5/4/2024 10:00,55.07060842,TRUE,FALSE
5/4/2024 10:30,57.94166667,TRUE,FALSE
5/4/2024 11:00,56.03888889,TRUE,FALSE
5/4/2024 11:30,57.35277778,TRUE,FALSE
5/4/2024 12:00,54.725,TRUE,FALSE
5/4/2024 12:30,55.88333333,TRUE,FALSE
5/4/2024 13:00,54.76388889,TRUE,FALSE
5/4/2024 13:30,54.41111111,FALSE,FALSE
5/4/2024 14:00,52.96111111,FALSE,FALSE
5/4/2024 14:30,52.03944368,FALSE,FALSE
5/4/2024 15:00,53.580699,FALSE,FALSE
5/4/2024 15:30,56.31444444,FALSE,FALSE
5/4/2024 16:00,56.68555556,FALSE,FALSE
5/4/2024 16:30,53.03777778,FALSE,FALSE
5/4/2024 17:00,51.68555556,FALSE,FALSE
5/4/2024 17:30,53.29555556,FALSE,FALSE
5/4/2024 18:00,58.29555556,FALSE,FALSE
5/4/2024 18:30,53.44666667,FALSE,FALSE
5/4/2024 19:00,54.88666667,FALSE,FALSE
5/4/2024 19:30,56.44666667,FALSE,FALSE
5/4/2024 20:00,51.36115748,FALSE,FALSE
5/4/2024 20:30,52.61166667,FALSE,FALSE
5/4/2024 21:00,51,TRUE,FALSE
5/4/2024 21:30,49.70333333,TRUE,FALSE
5/4/2024 22:00,52.64833333,TRUE,FALSE
5/4/2024 22:30,50.33333333,TRUE,FALSE
5/4/2024 23:00,49.055,TRUE,FALSE
5/4/2024 23:30,49.63,TRUE,FALSE
5/5/2024 0:00,45.44333333,TRUE,FALSE
5/5/2024 0:30,43.43004081,TRUE,FALSE
5/5/2024 1:00,43,TRUE,FALSE
5/5/2024 1:30,41.66666667,TRUE,FALSE
5/5/2024 2:00,44.26222222,TRUE,FALSE
5/5/2024 2:30,43.72,TRUE,FALSE
5/5/2024 3:00,43,TRUE,FALSE
5/5/2024 3:30,42.66666667,FALSE,FALSE
5/5/2024 4:00,43.01777778,FALSE,FALSE
5/5/2024 4:30,44.61333333,FALSE,FALSE
5/5/2024 5:00,44.01777778,FALSE,FALSE
5/5/2024 5:30,44.33985902,FALSE,FALSE
5/5/2024 6:00,44.03573827,FALSE,FALSE
5/5/2024 6:30,46.91388889,FALSE,FALSE
5/5/2024 7:00,45.385,FALSE,FALSE
5/5/2024 7:30,47.56333333,FALSE,FALSE
5/5/2024 8:00,47.73555556,FALSE,FALSE
5/5/2024 8:30,49.26444444,FALSE,FALSE
5/5/2024 9:00,50.68388889,FALSE,FALSE
5/5/2024 9:30,53.23,FALSE,FALSE
5/5/2024 10:00,54.98277778,FALSE,FALSE
5/5/2024 10:30,55.7028325,FALSE,FALSE
5/5/2024 11:00,53.73333333,FALSE,FALSE
5/5/2024 11:30,55.9,FALSE,FALSE
5/5/2024 12:00,59.6,FALSE,FALSE
5/5/2024 12:30,61.05,FALSE,FALSE
5/5/2024 13:00,61,FALSE,FALSE
5/5/2024 13:30,62.58333333,FALSE,FALSE
5/5/2024 14:00,56.48333333,TRUE,FALSE
5/5/2024 14:30,54.66666667,TRUE,FALSE
5/5/2024 15:00,57.93333333,TRUE,FALSE
5/5/2024 15:30,56.72005472,TRUE,FALSE
5/5/2024 16:00,55.04833333,TRUE,FALSE
5/5/2024 16:30,52.38166667,TRUE,FALSE
5/5/2024 17:00,56.60222222,TRUE,FALSE
5/5/2024 17:30,62.22055556,TRUE,FALSE
5/5/2024 18:00,63.03222222,TRUE,FALSE
5/5/2024 18:30,60.09666667,TRUE,FALSE
5/5/2024 19:00,57.68277778,TRUE,FALSE
5/5/2024 19:30,52.06444444,TRUE,FALSE
5/5/2024 20:00,53.33333333,TRUE,FALSE
5/5/2024 20:30,54.31560657,TRUE,FALSE
5/5/2024 21:00,56.95333333,TRUE,FALSE
5/5/2024 21:30,59.66666667,TRUE,FALSE
5/5/2024 22:00,58.36444444,TRUE,FALSE
5/5/2024 22:30,53.66666667,TRUE,FALSE
5/5/2024 23:00,54.71333333,TRUE,FALSE
5/5/2024 23:30,52.34888889,TRUE,FALSE
5/6/2024 0:00,50.71333333,TRUE,FALSE
5/6/2024 0:30,47.36444444,TRUE,FALSE
5/6/2024 1:00,44.36444444,TRUE,FALSE
5/6/2024 1:30,43.70615192,TRUE,FALSE
5/6/2024 2:00,43.33333333,TRUE,FALSE
5/6/2024 2:30,41.69666667,TRUE,FALSE
5/6/2024 3:00,42.65166667,TRUE,FALSE
5/6/2024 3:30,42,TRUE,FALSE
5/6/2024 4:00,42,TRUE,FALSE
5/6/2024 4:30,41.68166667,TRUE,FALSE
5/6/2024 5:00,42,TRUE,FALSE
5/6/2024 5:30,42.94,TRUE,FALSE
5/6/2024 6:00,43.66666667,TRUE,FALSE
5/6/2024 6:30,45.6767084,TRUE,FALSE
5/6/2024 7:00,54.81222222,TRUE,FALSE
5/6/2024 7:30,61.94222222,TRUE,FALSE
5/6/2024 8:00,59.07222222,TRUE,FALSE
5/6/2024 8:30,56.68111111,TRUE,FALSE
5/6/2024 9:00,52.14444444,TRUE,FALSE
5/6/2024 9:30,48.26111111,TRUE,FALSE
5/6/2024 10:00,49.05777778,FALSE,FALSE
5/6/2024 10:30,50.01444444,TRUE,FALSE
5/6/2024 11:00,48.33333333,TRUE,FALSE
5/6/2024 11:30,45.40004174,TRUE,FALSE
5/6/2024 12:00,47.61111111,TRUE,FALSE
5/6/2024 12:30,45.48611111,TRUE,FALSE
5/6/2024 13:00,39.97222222,TRUE,FALSE
5/6/2024 13:30,40.34722222,TRUE,FALSE
5/6/2024 14:00,37.33333333,TRUE,FALSE
5/6/2024 14:30,38.01388889,TRUE,FALSE
5/6/2024 15:00,36.04166667,TRUE,FALSE
5/6/2024 15:30,34.97222222,TRUE,FALSE
5/6/2024 16:00,40.47222222,TRUE,FALSE
5/6/2024 16:30,43.09337136,TRUE,FALSE
5/6/2024 17:00,43,TRUE,FALSE
5/6/2024 17:30,43.37333333,TRUE,FALSE
