timestamp,event_type,volume_m3,phase,color,data_type,paired_timestamp
2024-09-04 01:45:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-09-05 10:00:00
2024-09-05 09:00:00,backwash_event_start,6.399182384997455,Phase 2: Backwash Event,#bf5700,backwash_event,2024-09-05 09:45:00
2024-09-05 09:45:00,backwash_event_end,6.399182384997455,Phase 2: Backwash Event,#bf5700,backwash_event,2024-09-05 09:00:00
2024-09-05 10:00:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-09-04 01:45:00
2024-09-09 22:15:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-09-10 09:45:00
2024-09-10 09:00:00,backwash_event_start,6.382936667104659,Phase 2: Backwash Event,#bf5700,backwash_event,2024-09-10 09:30:00
2024-09-10 09:30:00,backwash_event_end,6.382936667104659,Phase 2: Backwash Event,#bf5700,backwash_event,2024-09-10 09:00:00
2024-09-10 09:45:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-09-09 22:15:00
2024-09-14 14:45:00,backwash_event_start,4.9975759972443905,Phase 2: Backwash Event,#bf5700,backwash_event,2024-09-14 19:45:00
2024-09-14 14:45:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-09-14 20:00:00
2024-09-14 19:45:00,backwash_event_end,4.9975759972443905,Phase 2: Backwash Event,#bf5700,backwash_event,2024-09-14 14:45:00
2024-09-14 20:00:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-09-14 14:45:00
2024-09-17 08:30:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-09-17 12:45:00
2024-09-17 12:00:00,backwash_event_start,5.8253519144154655,Phase 2: Backwash Event,#bf5700,backwash_event,2024-09-17 12:30:00
2024-09-17 12:30:00,backwash_event_end,5.8253519144154655,Phase 2: Backwash Event,#bf5700,backwash_event,2024-09-17 12:00:00
2024-09-17 12:45:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-09-17 08:30:00
2024-09-21 10:00:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-09-21 16:15:00
2024-09-21 15:30:00,backwash_event_start,8.851261106797159,Phase 2: Backwash Event,#bf5700,backwash_event,2024-09-21 16:00:00
2024-09-21 16:00:00,backwash_event_end,8.851261106797159,Phase 2: Backwash Event,#bf5700,backwash_event,2024-09-21 15:30:00
2024-09-21 16:15:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-09-21 10:00:00
2024-09-22 21:00:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-09-23 16:00:00
2024-09-23 16:00:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-09-22 21:00:00
2024-09-23 18:45:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-09-24 09:30:00
2024-09-24 08:30:00,backwash_event_start,5.357696751230131,Phase 2: Backwash Event,#bf5700,backwash_event,2024-09-24 09:00:00
2024-09-24 09:00:00,backwash_event_end,5.357696751230131,Phase 2: Backwash Event,#bf5700,backwash_event,2024-09-24 08:30:00
2024-09-24 09:30:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-09-23 18:45:00
2024-09-27 15:30:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-09-29 14:15:00
2024-09-29 13:15:00,backwash_event_start,8.803441560048281,Phase 2: Backwash Event,#bf5700,backwash_event,2024-09-29 14:00:00
2024-09-29 14:00:00,backwash_event_end,8.803441560048281,Phase 2: Backwash Event,#bf5700,backwash_event,2024-09-29 13:15:00
2024-09-29 14:15:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-09-27 15:30:00
2024-09-29 17:15:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-09-30 09:45:00
2024-09-30 09:00:00,backwash_event_start,7.45741537754607,Phase 2: Backwash Event,#bf5700,backwash_event,2024-09-30 09:15:00
2024-09-30 09:15:00,backwash_event_end,7.45741537754607,Phase 2: Backwash Event,#bf5700,backwash_event,2024-09-30 09:00:00
2024-09-30 09:45:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-09-29 17:15:00
2024-09-30 14:00:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-10-01 13:00:00
2024-10-01 09:30:00,backwash_event_end,5.733853536067167,Phase 2: Backwash Event,#bf5700,backwash_event,2024-10-01 09:30:00
2024-10-01 09:30:00,backwash_event_start,5.733853536067167,Phase 2: Backwash Event,#bf5700,backwash_event,2024-10-01 09:30:00
2024-10-01 13:00:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-09-30 14:00:00
2024-10-05 08:30:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-10-06 10:45:00
2024-10-06 09:00:00,backwash_event_end,5.771632395236521,Phase 2: Backwash Event,#bf5700,backwash_event,2024-10-06 09:00:00
2024-10-06 09:00:00,backwash_event_start,5.771632395236521,Phase 2: Backwash Event,#bf5700,backwash_event,2024-10-06 09:00:00
2024-10-06 10:45:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-10-05 08:30:00
2024-10-08 21:15:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-10-09 07:30:00
2024-10-09 07:30:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-10-08 21:15:00
2024-10-09 07:45:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-10-10 11:30:00
2024-10-10 09:30:00,backwash_event_start,7.810011031490212,Phase 2: Backwash Event,#bf5700,backwash_event,2024-10-10 09:30:00
2024-10-10 09:30:00,backwash_event_end,7.810011031490212,Phase 2: Backwash Event,#bf5700,backwash_event,2024-10-10 09:30:00
2024-10-10 11:30:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-10-09 07:45:00
2024-10-12 08:00:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-10-12 08:15:00
2024-10-12 08:15:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-10-12 08:00:00
2024-10-12 14:45:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-10-12 21:30:00
2024-10-12 20:30:00,backwash_event_start,6.671018645120352,Phase 2: Backwash Event,#bf5700,backwash_event,2024-10-12 20:45:00
2024-10-12 20:45:00,backwash_event_end,6.671018645120352,Phase 2: Backwash Event,#bf5700,backwash_event,2024-10-12 20:30:00
2024-10-12 21:30:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-10-12 14:45:00
2024-10-17 14:00:00,process_start,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-10-17 17:00:00
2024-10-17 15:30:00,backwash_event_start,5.08668088221875,Phase 2: Backwash Event,#bf5700,backwash_event,2024-10-17 16:00:00
2024-10-17 16:00:00,backwash_event_end,5.08668088221875,Phase 2: Backwash Event,#bf5700,backwash_event,2024-10-17 15:30:00
2024-10-17 17:00:00,process_end,,Phase 1: Backwash Process Duration,#9cadb7,process_duration,2024-10-17 14:00:00
